requested_level,actual_level,shot,action,angle,tap_ms,bird_vector,score_before,score_after,score_delta,reward,won,game_over,image_path,saliency_path,q_min,q_max,q_mean,q_std,top1_action,top2_action,top1_q,top2_q,top_margin,saliency_sum,object_like_mass_frac,right_half_mass_frac,top_half_mass_frac,lower_half_mass_frac
19,1,1,83,64,1200,0 1 0 0 0,0,4170,4170,0.3669999837875366,False,False,out/saliency/ab_agent_20260516_220759_rainbow_D_full_n3_noisy/level_019_actual_001_shot_01_image.png,out/saliency/ab_agent_20260516_220759_rainbow_D_full_n3_noisy/level_019_actual_001_shot_01_saliency.png,1.5621916055679321,5.259873867034912,2.7237823009490967,0.49602749943733215,83,70,5.259873867034912,4.144843101501465,1.1150307655334473,54.474483489990234,0.04870065697447677,0.5449016358991421,0.6062206310167724,0.39377936898320925
19,1,2,74,57,1600,0 0 1 0 0,4170,17430,13260,1.2760000228881836,False,False,out/saliency/ab_agent_20260516_220759_rainbow_D_full_n3_noisy/level_019_actual_001_shot_02_image.png,out/saliency/ab_agent_20260516_220759_rainbow_D_full_n3_noisy/level_019_actual_001_shot_02_saliency.png,1.5975854396820068,4.222484588623047,2.775876998901367,0.4719429016113281,74,83,4.222484588623047,3.9781484603881836,0.24433612823486328,28.88835906982422,0.08659143248764047,0.5084427254516252,0.612832715561104,0.3871672844388615
19,1,3,74,57,1600,1 0 0 0 0,17430,44600,27170,2.6670000553131104,False,False,out/saliency/ab_agent_20260516_220759_rainbow_D_full_n3_noisy/level_019_actual_001_shot_03_image.png,out/saliency/ab_agent_20260516_220759_rainbow_D_full_n3_noisy/level_019_actual_001_shot_03_saliency.png,1.2296788692474365,3.526787281036377,2.446939468383789,0.41180071234703064,74,124,3.526787281036377,3.4724204540252686,0.0543668270111084,22.32181739807129,0.08290747074632497,0.5434197514649984,0.6657765434188245,0.3342234565811308
37,1,1,138,98,3200,0 0 1 0 0,0,6500,6500,0.5999999642372131,False,False,out/saliency/ab_agent_20260516_220759_rainbow_D_full_n3_noisy/level_037_actual_001_shot_01_image.png,out/saliency/ab_agent_20260516_220759_rainbow_D_full_n3_noisy/level_037_actual_001_shot_01_saliency.png,1.3199893236160278,3.395777940750122,2.431152820587158,0.37348702549934387,138,100,3.395777940750122,3.3448479175567627,0.050930023193359375,34.785972595214844,0.06655820461031767,0.5517353234489749,0.6215832903275577,0.37841668225692837
37,1,2,29,23,3600,0 0 1 0 0,6500,12680,6180,0.5679999589920044,False,False,out/saliency/ab_agent_20260516_220759_rainbow_D_full_n3_noisy/level_037_actual_001_shot_02_image.png,out/saliency/ab_agent_20260516_220759_rainbow_D_full_n3_noisy/level_037_actual_001_shot_02_saliency.png,0.8478673696517944,3.3121609687805176,1.8047549724578857,0.4197019934654236,29,90,3.3121609687805176,3.23555850982666,0.07660245895385742,24.68701934814453,0.0853218755495168,0.5775563334555887,0.47207803566189455,0.527921964338065
37,1,3,90,71,0,0 0 1 0 0,12680,13500,820,0.03200000151991844,False,False,out/saliency/ab_agent_20260516_220759_rainbow_D_full_n3_noisy/level_037_actual_001_shot_03_image.png,out/saliency/ab_agent_20260516_220759_rainbow_D_full_n3_noisy/level_037_actual_001_shot_03_saliency.png,-0.6484744548797607,1.7989637851715088,0.12523742020130157,0.4073493182659149,90,92,1.7989637851715088,1.5766870975494385,0.2222766876220703,30.763031005859375,0.084625993757208,0.5223885538612767,0.5590857731267235,0.44091422687324405
67,1,1,156,112,2400,0 0 1 0 0,0,2000,2000,0.15000000596046448,False,False,out/saliency/ab_agent_20260516_220759_rainbow_D_full_n3_noisy/level_067_actual_001_shot_01_image.png,out/saliency/ab_agent_20260516_220759_rainbow_D_full_n3_noisy/level_067_actual_001_shot_01_saliency.png,3.621048927307129,9.763747215270996,6.948759078979492,0.9336747527122498,156,6,9.763747215270996,9.669939994812012,0.09380722045898438,13.397778511047363,0.02279409074462753,0.5116073934542084,0.6121836150234986,0.3878163849764267
67,1,2,156,112,2400,0 0 0 0 1,2000,9780,7780,0.7279999852180481,False,False,out/saliency/ab_agent_20260516_220759_rainbow_D_full_n3_noisy/level_067_actual_001_shot_02_image.png,out/saliency/ab_agent_20260516_220759_rainbow_D_full_n3_noisy/level_067_actual_001_shot_02_saliency.png,2.7407801151275635,8.848700523376465,4.465803146362305,0.7864825129508972,156,6,8.848700523376465,6.575611591339111,2.2730889320373535,16.108591079711914,0.030989533411771228,0.5262550972163564,0.49783228806771995,0.5021677119322181
67,1,3,25,23,2000,1 0 0 0 0,9780,24350,14570,1.4070000648498535,False,False,out/saliency/ab_agent_20260516_220759_rainbow_D_full_n3_noisy/level_067_actual_001_shot_03_image.png,out/saliency/ab_agent_20260516_220759_rainbow_D_full_n3_noisy/level_067_actual_001_shot_03_saliency.png,-0.4077734351158142,1.5870165824890137,0.5792514681816101,0.30400848388671875,25,15,1.5870165824890137,1.4592205286026,0.12779605388641357,38.041194915771484,0.024990392735014265,0.6641450076918112,0.5311115191313854,0.4688884808685882
102,1,1,79,57,3600,0 0 0 1 0,0,14280,14280,1.378000020980835,False,False,out/saliency/ab_agent_20260516_220759_rainbow_D_full_n3_noisy/level_102_actual_001_shot_01_image.png,out/saliency/ab_agent_20260516_220759_rainbow_D_full_n3_noisy/level_102_actual_001_shot_01_saliency.png,2.310706377029419,7.489211559295654,4.803509712219238,0.8495954871177673,79,93,7.489211559295654,6.756648063659668,0.7325634956359863,9.759244918823242,0.062835992215611,0.5349070828499712,0.633806314867754,0.36619368513214356
102,1,2,79,57,3600,0 0 1 0 0,14280,19290,5010,0.4509999752044678,False,False,out/saliency/ab_agent_20260516_220759_rainbow_D_full_n3_noisy/level_102_actual_001_shot_02_image.png,out/saliency/ab_agent_20260516_220759_rainbow_D_full_n3_noisy/level_102_actual_001_shot_02_saliency.png,-0.5619262456893921,7.027019500732422,1.4541239738464355,1.1290626525878906,79,107,7.027019500732422,5.986430644989014,1.0405888557434082,6.224235534667969,0.07650823252254468,0.47536379674259943,0.5797755380148929,0.4202244619849464
102,1,3,94,71,1600,0 1 0 0 0,19290,24940,5650,0.5149999856948853,False,False,out/saliency/ab_agent_20260516_220759_rainbow_D_full_n3_noisy/level_102_actual_001_shot_03_image.png,out/saliency/ab_agent_20260516_220759_rainbow_D_full_n3_noisy/level_102_actual_001_shot_03_saliency.png,-0.6590284109115601,3.6513748168945312,0.48665550351142883,0.6684714555740356,94,79,3.6513748168945312,3.6489622592926025,0.002412557601928711,29.882619857788086,0.06908752698888057,0.5215829044036632,0.6184550183795785,0.3815449816203881
304,1,1,83,64,1200,0 0 0 1 0,0,8600,8600,0.8100000023841858,False,False,out/saliency/ab_agent_20260516_220759_rainbow_D_full_n3_noisy/level_304_actual_001_shot_01_image.png,out/saliency/ab_agent_20260516_220759_rainbow_D_full_n3_noisy/level_304_actual_001_shot_01_saliency.png,-0.0013887882232666016,7.169954299926758,2.06620454788208,1.05690336227417,83,85,7.169954299926758,5.715803146362305,1.4541511535644531,30.109127044677734,0.035593520946030625,0.5828961803396696,0.5201014148489989,0.4798985534770402
304,1,2,179,126,3600,0 0 1 0 0,8600,34600,26000,7.549999713897705,True,True,out/saliency/ab_agent_20260516_220759_rainbow_D_full_n3_noisy/level_304_actual_001_shot_02_image.png,out/saliency/ab_agent_20260516_220759_rainbow_D_full_n3_noisy/level_304_actual_001_shot_02_saliency.png,3.559396743774414,7.049549579620361,5.567954063415527,0.5895754098892212,179,85,7.049549579620361,6.996021270751953,0.0535283088684082,30.745637893676758,0.03747081807832334,0.5252448747233704,0.5296248925762049,0.4703751074237626
308,1,1,83,64,1200,0 0 1 0 0,0,2010,2010,0.1510000079870224,False,False,out/saliency/ab_agent_20260516_220759_rainbow_D_full_n3_noisy/level_308_actual_001_shot_01_image.png,out/saliency/ab_agent_20260516_220759_rainbow_D_full_n3_noisy/level_308_actual_001_shot_01_saliency.png,1.7379798889160156,8.358461380004883,6.671248912811279,0.8440171480178833,83,92,8.358461380004883,8.219664573669434,0.13879680633544922,7.777286529541016,0.03458771797466556,0.5654968144992649,0.5027438432210163,0.49725618743460864
308,1,2,29,23,3600,0 0 0 1 0,2010,31510,29500,7.899999618530273,True,True,out/saliency/ab_agent_20260516_220759_rainbow_D_full_n3_noisy/level_308_actual_001_shot_02_image.png,out/saliency/ab_agent_20260516_220759_rainbow_D_full_n3_noisy/level_308_actual_001_shot_02_saliency.png,4.023154258728027,7.218687057495117,6.239567756652832,0.4706908166408539,29,83,7.218687057495117,7.202527046203613,0.016160011291503906,18.98792839050293,0.044707827150245516,0.5641438802033989,0.5530518245694422,0.44694817543050525
